0e0711b8-3d19-45b6-b306-6f3d9f3dec67:1746116814706:72:S:CREATE TABLE Station (\n    STATIONID NUMBER PRIMARY KEY,\n    NAME VARCHAR2(100) NOT NULL,\n    BESCHREIBUNG VARCHAR2(200),\n    ORT VARCHAR2(50),\n    AKTIV CHAR(1) DEFAULT 'Y' CHECK (AKTIV IN ('Y', 'N'))\n);
cde5e865-4e6c-4e67-a2ce-7adc2638a2f7:1746116814975:59:S:INSERT INTO Station (STATIONID, NAME, BESCHREIBUNG, ORT, AKTIV) \nVALUES (1, 'Station 1', 'Laufbahn', 'Sportplatz Nord', 'Y');
e0d52590-9eff-4ac8-a0b0-6b2b2530c532:1746116815177:36:S:INSERT INTO Station (STATIONID, NAME, BESCHREIBUNG, ORT, AKTIV) \nVALUES (2, 'Station 2', 'Weitsprung', 'Sportplatz Ost', 'Y');
729c495e-9d2b-446d-bbda-66d3e1f54591:1746116815282:35:S:COMMIT;
3baeeb1b-45b6-434a-a7e7-0224cc322b2b:1746607742592:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (1, 'LEW');
32c3f30a-13f1-4b78-ae8d-b00293ace7cf:1746607742858:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (4, 'HES');
6519ab25-6c5d-494c-9fdc-fdd32f2954d8:1746607743084:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (6, 'BOE');
98da4449-118d-4ea3-af52-1a83556977f7:1746607743301:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (8, 'GEM');
324b4693-0701-4838-bb19-8d90b0991ce2:1746607743592:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (9, 'BUN');
88367b87-86c2-4da9-9981-01eb771bdd83:1746607743786:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (10, 'LOR');
badb9ee5-6fbf-4d7c-89d3-3abcd4132516:1746607743988:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (11, 'MAR');
24257844-46d4-4e23-817a-1c616de4266a:1746607744171:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (12, 'STF');
754e1545-f847-490d-8362-3ea9997043d3:1746607744369:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (13, 'SAL');
a3b6ee70-9c06-4512-9cbc-2decacd647b7:1746607744568:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (14, 'MUE');
50169337-8188-4095-8551-a3b041dee879:1746607744850:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (15, 'FES');
